country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,429,391,712,893,921,982,814,667,401,472,
"Macao, China",,,,,,,,,,,,,,,,,,,,,1320,,2620,,,,,,,2080,2320,2840,2790,2670,2580,2420,2230,1970,1900,1910,1810,1610,1430,1230,828,538,255,309,456,245,726
Morocco,,,,,,887k,857k,835k,809k,788k,764k,735k,729k,705k,686k,711k,744k,778k,811k,851k,852k,1.03M,1.04M,1.01M,960k,900k,842k,795k,765k,579k,489k,418k,343k,303k,299k,275k,243k,206k,191k,192k,131k,109k,119k,93.7k,104k,,81.1k,46.6k,,,
Madagascar,,,208k,,,,,,,,,,,,,,,,,279k,294k,,,,,392k,409k,,,366k,358k,356k,364k,263k,,,,,,,,,,,,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,,731,475,,30,,,,,,,,,,,,,,418,710,397,174,
Mexico,,877k,,,,,,,,,,,,,,,,,,,,,,,,,,281k,238k,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,1120,1040,,,1190,1330
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6430,6530,2030,2700,2920,3840,3670,3690,4700,4360,5750,4860,2740,,5470,5710,5010,2930,,403,428,,
Mali,,374k,,,,,,,,,,,,,,,,,,,,,,,,,,,,532k,,,505k,522k,516k,502k,499k,490k,,445k,445k,444k,486k,,564k,625k,632k,567k,712k,,
Malta,,3280,3530,3590,3210,2680,1890,1000,659,497,912,1240,1030,1540,1270,691,651,847,795,678,603,695,801,785,949,862,386,141,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,,819k,,742k,909k,,,,871k,,,,,,,,,,,,,,,,,,,,,,280k,250k,288k,243k,281k,282k,303k,142k,272k,309k,301k,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,,196,181,503,531,,,,237,,,713,1180,507,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,16.4k,13.8k,17.3k,12.7k,10.8k,7830,5550,6810,15.1k,7660,8770,2250,805,,,,,1750,5400,5450,4020,,,,,
Mozambique,,,,502k,,,,,,407k,,436k,451k,371k,,362k,376k,502k,,559k,,591k,619k,649k,655k,645k,,,905k,865k,821k,766k,841k,,649k,566k,502k,412k,351k,328k,310k,367k,371k,352k,336k,306k,314k,335k,219k,111k,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,106k,97.4k,91.5k,,84.9k,85.9k,86.3k,80.4k,80.2k,73.5k,57.4k,60.7k,56.1k,54.2k,63.3k,67.5k,67.9k,66.9k,70.4k,66.4k,61.9k,,75.3k,61.6k,60.1k,70.6k,
Mauritius,,,17k,16.4k,15.7k,14.6k,14.3k,11.9k,13.4k,15.3k,14.8k,12.1k,7980,5780,3360,,842,,,,1330,3990,,3880,3420,2870,1710,1210,,,,,,,692,81,,,,113,,,1790,491,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6k,,,,,,,,,,,,,
Malaysia,158k,154k,146k,,,,,,,,,,,,,,,,,,,,,,34.4k,,,,65.2k,55.2k,22.1k,32.3k,51.9k,44.5k,8640,4460,50.8k,62.6k,75.7k,42.1k,57k,37.1k,16.8k,,2810,,,,,17.7k,
Namibia,,,,,,,,,,,,,,,,,,,,27.1k,27.6k,,25.7k,,,,,,18.8k,17.2k,14.6k,11.7k,7760,7430,11.5k,11.2k,17k,11.6k,12.8k,11.6k,10.2k,,4260,,,,,,,,
Niger,,,,364k,373k,,,,,,,,,,,,466k,,,519k,534k,547k,575k,,,,,645k,661k,670k,687k,685k,686k,683k,684k,710k,725k,741k,728k,714k,693k,658k,657k,688k,712k,718k,729k,702k,,887k,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99M,3.79M,,,,3.86M,3.9M,3.88M,4.08M,4.87M,4.87M,4.97M,,,,,,,,,,
